Year,Deaths,Vehicle miles travelled (billions),Fatalities per 100 million VMT,Population,Fatalities per 100000 population
1900,36,,,"76,094,000",0.047
1901,54,,,"77,584,000",0.07
1902,79,,,"79,163,000",0.1
1903,117,,,"80,632,000",0.145
1904,172,,,"82,166,000",0.209
1905,252,,,"83,822,000",0.301
1906,338,,,"85,450,000",0.396
1907,581,,,"87,008,000",0.668
1908,751,,,"88,710,000",0.847
1909,"1,174",,,"90,490,000",1.297
1910,"1,599",,,"92,407,000",1.73
1911,"2,043",,,"93,863,000",2.177
1912,"2,968",,,"95,335,000",3.113
1913,"4,079",,,"97,225,000",4.195
1914,"4,468",,,"99,111,000",4.508
1915,"6,779",,,"100,546,000",6.742
1916,"7,766",,,"101,961,000",7.617
1917,"9,630",,,"103,268,000",9.325
1918,"10,390",,,"103,208,000",10.067
1919,"10,896",,,"104,514,000",10.425
1920,"12,155",,,"106,461,000",11.417
1921,"13,253",55.03,24.09,"108,538,000",12.21
1922,"14,859",67.7,21.95,"110,049,000",13.502
1923,"17,870",85,21.03,"111,947,000",15.963
1924,"18,400",104.84,17.55,"114,109,000",16.125
1925,"20,771",122.35,16.98,"115,829,000",17.932
1926,"22,194",140.74,15.77,"117,397,000",18.905
1927,"24,470",158.45,15.44,"119,035,000",20.557
1928,"26,557",172.86,15.36,"120,509,000",22.037
1929,"29,592",197.72,14.97,"121,767,000",24.302
1930,"31,204",206.32,15.12,"123,076,741",25.353
1931,"31,963",216.15,14.79,"124,039,648",25.768
1932,"27,979",200.52,13.95,"124,840,471",22.412
1933,"29,746",200.64,14.83,"125,578,763",23.687
1934,"34,240",215.56,15.88,"126,373,773",27.094
1935,"34,494",228.57,15.09,"127,250,232",27.107
1936,"36,126",252.13,14.33,"128,053,180",28.212
1937,"37,819",270.11,14,"128,824,829",29.357
1938,"31,083",271.18,11.46,"129,824,939",23.942
1939,"30,895",285.4,10.83,"130,879,718",23.606
1940,"32,914",302.19,10.89,"132,122,446",24.912
1941,"38,142",333.61,11.43,"133,402,471",28.592
1942,"27,007",268.22,10.07,"134,859,553",20.026
1943,"22,727",208.19,10.92,"136,739,353",16.621
1944,"23,165",212.71,10.89,"138,397,345",16.738
1945,"26,785",250.17,10.71,"139,928,165",19.142
1946,"31,874",340.88,9.35,"141,388,566",22.544
1947,"31,193",370.89,8.41,"144,126,071",21.643
1948,"30,775",397.96,7.73,"146,631,302",20.988
1949,"30,246",424.46,7.13,"149,188,130",20.274
1950,"33,186",458.25,7.24,"152,271,417",21.794
1951,"35,309",491.09,7.19,"154,877,889",22.798
1952,"36,088",513.58,7.03,"157,552,740",22.905
1953,"36,190",544.43,6.65,"160,184,192",22.593
1954,"33,890",561.96,6.03,"163,025,854",20.788
1955,"36,688",605.65,6.06,"165,931,202",22.11
1956,"37,965",627.84,6.05,"168,903,031",22.477
1957,"36,932",647,5.71,"171,984,130",21.474
1958,"35,331",664.65,5.32,"174,881,904",20.203
